Market,err_2025 Q3,err_2025 Q4,err_2026 Q1,MAE,MeanError,Variable
Lansing - MI,-0.005937901486882335,-0.006223394349077815,-0.006286601478842191,0.006149299104934114,-0.006149299104934114,Supply
Las Vegas - NV,-0.00034617935896874563,-0.00023945724810348068,0.0009886986985336854,0.0005247784352019705,0.00013435403048715303,Supply
Lehigh Valley - PA,-0.0038103527697461725,0.0041577524307834235,0.006928040675722391,0.004965381958750663,0.002425146778919881,Supply
Lexington - KY,-0.001991946218533047,-0.0020170548132050214,-0.006100957797180673,0.003369986276306247,-0.003369986276306247,Supply
Little Rock - AR,-1.8351317624620833e-05,-5.505395287397352e-05,-0.00014681054099674462,7.340527049844632e-05,-7.340527049844632e-05,Supply
Long Island - NY,0.0017059859062249494,0.0019784226115835413,0.0012405565067292734,0.0016416550081792547,0.0016416550081792547,Supply
Los Angeles - CA,-0.0032446306321989304,-0.0038712205757120977,-0.004907619834711996,0.004007823680874341,-0.004007823680874341,Supply
Louisville - KY,0.004718955342569053,0.0008924174766014037,0.002993065573656306,0.0028681461309422542,0.0028681461309422542,Supply
Madison - WI,-0.003651009943972161,-0.00497012922710649,-0.0011717267499053996,0.003264288640328017,-0.003264288640328017,Supply
Manchester - NH,-3.983746315039394e-05,0.0009380336466684458,0.0008583587203676579,0.0006120766100621658,0.0005855183012952366,Supply
McAllen - TX,-0.01158892028676961,-0.020012841737141573,-0.02992617440464229,0.02050931214285116,-0.02050931214285116,Supply
Melbourne - FL,-0.008096274445587581,-0.03759013925262089,-0.03538093744683879,0.02702245038168242,-0.02702245038168242,Supply
Memphis - TN,-0.003193846174367909,-0.007090996198474864,-0.008080161362626237,0.006121667911823003,-0.006121667911823003,Supply
Miami - FL,0.004339272867600608,0.004014416526107789,0.0034243695413405106,0.003926019645016303,0.003926019645016303,Supply
Milwaukee - WI,-0.0006746640922064007,-0.0022460249850062564,-0.002789673714716834,0.0019034542639764969,-0.0019034542639764969,Supply
Minneapolis - MN,-0.0014263232924565106,-0.0012966956185711531,-0.0021175767914980437,0.0016135319008419025,-0.0016135319008419025,Supply
Mobile - AL,0.00018102848129053495,-0.011768173917649616,-0.011812614411827793,0.007920605603589315,-0.007799919949395624,Supply
Modesto - CA,-0.008857667161848881,-0.008857667161848881,-0.008917680364753489,0.008877671562817083,-0.008877671562817083,Supply
Montgomery - AL,-4.735296903124464e-05,-4.735296903124464e-05,-0.0001420589070936229,7.892161505203739e-05,-7.892161505203739e-05,Supply
Myrtle Beach - SC,-0.031012877917918402,-0.03399061427728611,-0.03139800609702337,0.03213383276407596,-0.03213383276407596,Supply
Naples - FL,-0.0001164708116001556,-0.013974921243468108,-0.033633023753675495,0.015908138602914585,-0.015908138602914585,Supply
Nashville - TN,-0.005381868266048473,0.0003213285721506143,0.000948531973283373,0.00221724293716082,-0.0013706692402048286,Supply
New Haven - CT,0.00045526591736888555,0.004013699124443049,0.00325115258955444,0.0025733725437887913,0.0025733725437887913,Supply
New Orleans - LA,-0.00569984843757898,-0.011324115847963778,-0.011793385581446159,0.009605783288996306,-0.009605783288996306,Supply
