Market,err_2025 Q3,err_2025 Q4,err_2026 Q1,MAE,MeanError,Variable
Kansas City - MO,0.0006272120081640686,0.0034685256986450863,0.011647270899732165,0.005247669535513773,0.005247669535513773,SalePrice
Killeen - TX,0.015765023090966168,0.03333975642005638,0.05127136942963484,0.03345871631355246,0.03345871631355246,SalePrice
Knoxville - TN,-0.004978441794018185,-0.006635138414688546,-0.0017691152447365521,0.004460898484481095,-0.004460898484481095,SalePrice
Lafayette - LA,0.0019291110326586924,0.007898773768526324,0.026332330771959622,0.012053405191048213,0.012053405191048213,SalePrice
Lakeland - FL,0.0066255761860620765,0.013288110844222878,0.022290717254448422,0.014068134761577792,0.014068134761577792,SalePrice
Lancaster - PA,0.005938125653569992,0.014055966807157372,0.030151409348347924,0.01671516726969176,0.01671516726969176,SalePrice
Lansing - MI,-0.0016797755771897904,0.003444940187253609,0.016486549680315488,0.007203755148252962,0.006083904763459769,SalePrice
Las Vegas - NV,0.014570967411959068,0.028593992783807365,0.04518332130873137,0.029449427168165936,0.029449427168165936,SalePrice
Lehigh Valley - PA,-0.016054567361164063,-0.031861825471277694,-0.02198741082181388,0.02330126788475188,-0.02330126788475188,SalePrice
Lexington - KY,0.006446420696702537,0.014728611193613128,0.024511711402591896,0.015228914430969187,0.015228914430969187,SalePrice
Little Rock - AR,0.010659000458660195,0.027639972146014102,0.04371557874698628,0.02733818378388686,0.02733818378388686,SalePrice
Long Island - NY,-0.0018338259675283464,0.002229687941047054,0.005371801875523996,0.0031451052613664654,0.0019225546163475677,SalePrice
Los Angeles - CA,0.020244627171485008,0.04222740095529465,0.06483467128414844,0.04243556647030936,0.04243556647030936,SalePrice
Louisville - KY,0.010723551875281512,0.023639583778990225,0.03531046903931112,0.023224534897860954,0.023224534897860954,SalePrice
Madison - WI,-0.004452196277423104,-0.015504441537766978,-0.028947360437323377,0.01630133275083782,-0.01630133275083782,SalePrice
Manchester - NH,0.008898769825994357,0.015145272450394875,0.02066604820265039,0.014903363493013208,0.014903363493013208,SalePrice
McAllen - TX,0.01185210485074839,0.02420838320603036,0.0372320053958054,0.024430831150861382,0.024430831150861382,SalePrice
Melbourne - FL,0.013781109691257565,0.031931548672681886,0.050999222620650264,0.03223729366152991,0.03223729366152991,SalePrice
Memphis - TN,0.0059513014299725775,0.016447833631238362,0.0219277705837031,0.014775635214971347,0.014775635214971347,SalePrice
Miami - FL,0.010633578108468544,0.017802229087168886,0.026450662310042006,0.01829548983522648,0.01829548983522648,SalePrice
Milwaukee - WI,0.008480085792349268,0.017637134725207337,0.02557594016314435,0.01723105356023365,0.01723105356023365,SalePrice
Minneapolis - MN,0.006318380041852478,0.0181471152390138,0.03018291778553084,0.01821613768879904,0.01821613768879904,SalePrice
Mobile - AL,0.014376480547051984,0.029423757644658877,0.045401392075922864,0.029733876755877908,0.029733876755877908,SalePrice
Modesto - CA,0.0039175298669449354,0.009562547418656475,0.027133064922897132,0.013537714069499515,0.013537714069499515,SalePrice
