Market,err_2025 Q3,err_2025 Q4,err_2026 Q1,MAE,MeanError,Variable
Mobile - AL,0.001545025106213238,0.0032058761092097487,0.004106988668583833,0.0029526299613356066,0.0029526299613356066,Employment
Modesto - CA,0.0007413324170619795,0.001239486316668259,0.00222586449198392,0.0014022277419047195,0.0014022277419047195,Employment
Montgomery - AL,0.0017897767722795388,0.004568407125393414,0.005529783616589179,0.003962655838087377,0.003962655838087377,Employment
Myrtle Beach - SC,-0.0003689810014613215,0.001107187505043239,0.0024265642764811357,0.0013009109276618986,0.001054923593354351,Employment
Naples - FL,0.002147733843007149,0.003861776830359487,0.00551091739817644,0.0038401426905143587,0.0038401426905143587,Employment
Nashville - TN,0.000644941791192899,0.0022298578948949377,0.0032051505840007266,0.0020266500900295212,0.0020266500900295212,Employment
New Haven - CT,0.0009679211983533165,0.002416077111336512,0.0032424602351401877,0.0022088195149433387,0.0022088195149433387,Employment
New Orleans - LA,0.0013803122963547132,0.003270630779145023,0.0041894576357510704,0.002946800237083602,0.002946800237083602,Employment
New York - NY,-0.0013175906519737879,-0.0009586041667306588,-0.0004902587027537653,0.000922151173819404,-0.000922151173819404,Employment
Norfolk - VA,0.0006169022152757719,0.003927792283780596,0.005274033273317658,0.0032729092574580085,0.0032729092574580085,Employment
Northern New Jersey - NJ,0.0030095847288796884,0.005446088378072034,0.00696583006239726,0.0051405010564496605,0.0051405010564496605,Employment
Northwest Arkansas - AR,0.00012151029496121346,0.0017944920624413108,0.002957255923115243,0.0016244194268392558,0.0016244194268392558,Employment
Ocala - FL,0.0012113724199418474,0.002048490542726933,0.002855365053737069,0.0020384093388019497,0.0020384093388019497,Employment
Ogden - UT,0.0030681370241060213,0.008152567882049322,0.009407843801503946,0.006876182902553096,0.006876182902553096,Employment
Oklahoma City - OK,0.0011831132530497612,0.003680981625865609,0.0048088564818262736,0.0032243171202472145,0.0032243171202472145,Employment
Omaha - NE,0.0014282353423316074,0.0030648479426274022,0.00400808999695923,0.00283372442730608,0.00283372442730608,Employment
Orange County - CA,0.0030709591096714783,0.005403095166945815,0.006788361186647385,0.005087471821088226,0.005087471821088226,Employment
Orlando - FL,0.0071021487271542005,0.009604863230407767,0.011607168238074728,0.009438060065212231,0.009438060065212231,Employment
Palm Beach - FL,0.0019266874579901838,0.003683770017950394,0.005047269102003815,0.003552575525981464,0.003552575525981464,Employment
Pensacola - FL,0.0014504473092089576,0.003963847708651325,0.00544928404018441,0.003621193019348231,0.003621193019348231,Employment
Philadelphia - PA,-9.865697541244778e-05,0.0016349540460987022,0.002481167115763183,0.001404926045758111,0.0013391547288164791,Employment
Phoenix - AZ,0.0036056659384875456,0.005952328715545185,0.007802835830252874,0.005786943494761869,0.005786943494761869,Employment
Pittsburgh - PA,0.0001251157187065477,0.0009077104417487547,0.0014680836481870685,0.0008336366028807903,0.0008336366028807903,Employment
Port St. Lucie - FL,0.0016877282783012149,0.003131923579352547,0.004421151935538825,0.0030802679310641956,0.0030802679310641956,Employment
Portland - ME,0.00199653188341109,0.0039861754905886615,0.005212690720159396,0.003731799364719716,0.003731799364719716,Employment
Portland - OR,0.006695711555822159,0.008834933118445076,0.01030733189069355,0.008612658854986929,0.008612658854986929,Employment
Poughkeepsie - NY,,,,,,Employment
Providence - RI,0.00014673519066144003,0.0018345737253868677,0.0026180534998740956,0.0015331208053074679,0.0015331208053074679,Employment
Provo - UT,0.002649890433593649,0.0036709843733346847,0.004604006890302381,0.0036416272324102383,0.0036416272324102383,Employment
Raleigh - NC,0.006587353663461082,0.008172297769728054,0.00936801384922159,0.008042555094136908,0.008042555094136908,Employment
Reading - PA,0.0009060527383588646,0.001662513240694885,0.002191024753088522,0.0015865302440474238,0.0015865302440474238,Employment
Reno - NV,0.0038840039358646328,0.006596069688030504,0.0085613085504892,0.006347127391461445,0.006347127391461445,Employment
Richmond - VA,-0.0031934975602936344,-0.0008010329936458671,0.0006468913592523329,0.0015471406377306114,-0.0011158797315623896,Employment
Rochester - NY,-0.0005329320854685626,0.0004357450344842917,0.001306243364495252,0.0007583068281493688,0.00040301877117032703,Employment
Sacramento - CA,0.0038274077742840307,0.005022415438159733,0.006132702100184462,0.0049941751042094085,0.0049941751042094085,Employment
Saint Louis - MO,0.0035800194446220512,0.0051316126751747015,0.006198581576183804,0.0049700712319935185,0.0049700712319935185,Employment
Salem - OR,0.0010107013256814845,0.0017441481009823345,0.002574607019461439,0.0017764854820417526,0.0017764854820417526,Employment
Salinas - CA,0.0011606453084882506,0.003322441360874784,0.004808758274415403,0.003097281647926146,0.003097281647926146,Employment
Salisbury - MD,0.0013105431602500328,0.0023855672522163918,0.0033413060777094383,0.0023458054967252875,0.0023458054967252875,Employment
Salt Lake City - UT,0.0028160734876385707,0.004372459565334941,0.005254877960510385,0.004147803671161299,0.004147803671161299,Employment
San Antonio - TX,-0.0038877943464155074,-0.0023555723786774507,-0.001457883982987962,0.0025670835693603067,-0.0025670835693603067,Employment
San Diego - CA,0.001287022470488841,0.0036001803735790094,0.0049439292978326055,0.003277044047300152,0.003277044047300152,Employment
San Francisco - CA,0.0022122488765372594,0.004606681807121316,0.006112598297187688,0.004310509660282087,0.004310509660282087,Employment
San Jose - CA,0.0019072848569126055,0.0034304701830076834,0.00470356797881788,0.0033471076729127227,0.0033471076729127227,Employment
Santa Barbara - CA,0.0009092275174957809,0.002296392936798508,0.0033609443947104634,0.0021888549496682508,0.0021888549496682508,Employment
