Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1
Saint Louis - MO,712.0,705.0,705.0,58.0,522.0,563.0,1962.0,559.0,945.0,604.0,411.0,559.0,676.0,661.0,236.0,0.0,201.0,620.0,1065.0,1974.0,1685.0,410.0,441.0,1334.0,1479.0,1121.0,292.0,1210.0,555.0,631.0,5.0,463.0,421.0,422.0,786.0,403.0,975.0,228.0,533.0,609.0,437.0,,0.0,,,,,,,,,,,,,,,,,,,
Salem - OR,0.0,0.0,201.0,306.0,8.0,24.0,161.0,30.0,116.0,0.0,0.0,438.0,125.0,363.0,431.0,202.0,324.0,484.0,69.0,143.0,192.0,309.0,76.0,0.0,391.0,212.0,24.0,119.0,730.0,647.0,284.0,109.0,11.0,16.0,67.0,42.0,67.0,98.0,36.0,74.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Salinas - CA,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,6.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Salisbury - MD,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,256.0,0.0,194.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Salt Lake City - UT,1037.0,674.0,413.0,1164.0,1180.0,1416.0,898.0,863.0,2273.0,1865.0,484.0,1021.0,689.0,864.0,331.0,1243.0,1742.0,1313.0,916.0,526.0,1950.0,924.0,2065.0,982.0,2219.0,1027.0,890.0,2272.0,1322.0,731.0,568.0,276.0,824.0,608.0,677.0,1150.0,944.0,73.0,224.0,496.0,60.0,,0.0,,,,,,,,,,,,,,,,,,,
San Antonio - TX,1915.0,1959.0,600.0,1590.0,1485.0,764.0,1636.0,1404.0,1139.0,1088.0,1056.0,1476.0,3582.0,1071.0,1854.0,1924.0,1528.0,1536.0,955.0,846.0,1429.0,2852.0,1961.0,1332.0,1812.0,2337.0,3679.0,4224.0,4196.0,1949.0,1410.0,1656.0,931.0,631.0,1435.0,1736.0,524.0,1531.0,407.0,1280.0,541.0,,0.0,,,,,,,,,,,,,,,,,,,
San Diego - CA,967.0,2310.0,873.0,793.0,812.0,969.0,806.0,1298.0,1171.0,973.0,778.0,1025.0,645.0,404.0,1460.0,1180.0,610.0,1086.0,1906.0,1232.0,2156.0,421.0,810.0,619.0,1627.0,1231.0,633.0,771.0,1447.0,1608.0,474.0,1634.0,3037.0,1078.0,1309.0,1368.0,1108.0,1060.0,777.0,1184.0,992.0,,0.0,,,,,,,,,,,,,,,,,,,
San Francisco - CA,153.0,422.0,47.0,218.0,946.0,271.0,1024.0,714.0,497.0,1646.0,524.0,545.0,1043.0,405.0,1340.0,635.0,306.0,151.0,58.0,635.0,283.0,536.0,0.0,447.0,780.0,1711.0,94.0,178.0,5.0,0.0,1441.0,445.0,148.0,36.0,8.0,28.0,0.0,18.0,1221.0,936.0,14.0,,0.0,,,,,,,,,,,,,,,,,,,
San Jose - CA,451.0,176.0,638.0,2656.0,141.0,775.0,1528.0,731.0,2046.0,1333.0,144.0,537.0,1165.0,1777.0,619.0,165.0,91.0,37.0,311.0,12.0,1153.0,9.0,384.0,56.0,0.0,2273.0,1056.0,1737.0,560.0,0.0,318.0,0.0,0.0,371.0,0.0,0.0,650.0,300.0,1332.0,568.0,1050.0,,0.0,,,,,,,,,,,,,,,,,,,
Santa Barbara - CA,0.0,83.0,0.0,158.0,0.0,0.0,93.0,216.0,0.0,5.0,0.0,31.0,12.0,0.0,8.0,516.0,47.0,6.0,0.0,27.0,0.0,0.0,0.0,30.0,168.0,0.0,0.0,11.0,8.0,24.0,48.0,78.0,41.0,0.0,0.0,42.0,36.0,340.0,104.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Santa Rosa - CA,37.0,0.0,0.0,20.0,0.0,150.0,96.0,0.0,47.0,355.0,503.0,0.0,34.0,7.0,0.0,18.0,248.0,155.0,90.0,168.0,114.0,248.0,0.0,35.0,164.0,0.0,0.0,15.0,300.0,153.0,6.0,373.0,22.0,0.0,260.0,0.0,53.0,0.0,0.0,396.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Sarasota - FL,200.0,188.0,824.0,591.0,6.0,97.0,300.0,329.0,623.0,747.0,638.0,917.0,505.0,776.0,287.0,544.0,890.0,1114.0,100.0,215.0,221.0,245.0,1067.0,341.0,1456.0,664.0,903.0,1502.0,1645.0,838.0,592.0,911.0,1635.0,1500.0,157.0,1111.0,860.0,735.0,1560.0,867.0,824.0,,0.0,,,,,,,,,,,,,,,,,,,
Savannah - GA,0.0,444.0,0.0,478.0,390.0,272.0,0.0,663.0,244.0,52.0,861.0,406.0,533.0,276.0,379.0,794.0,573.0,113.0,83.0,163.0,251.0,559.0,16.0,391.0,894.0,653.0,1202.0,1393.0,489.0,288.0,972.0,143.0,748.0,1078.0,441.0,559.0,836.0,556.0,995.0,534.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
Scranton - PA,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,120.0,38.0,87.0,0.0,49.0,31.0,33.0,0.0,0.0,0.0,42.0,60.0,0.0,18.0,0.0,8.0,12.0,33.0,60.0,0.0,14.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
