Market,Pop_5YrGrowth,Pop_5YrRank,Pop_10YrGrowth,Pop_10YrRank
San Antonio - TX,1.0763475693110198,21,1.1666117280990014,20
San Diego - CA,0.997615982858359,116,1.0088751038147097,112
San Francisco - CA,0.9547493388394948,150,0.9594840773785792,147
San Jose - CA,0.9856943475226797,135,0.9942899614456422,124
Santa Barbara - CA,0.9831193290706313,139,0.9936058112948405,127
Santa Rosa - CA,0.9823206476047481,141,0.9604897826625843,146
Sarasota - FL,1.0997788065720222,10,1.21177730381974,11
Savannah - GA,1.06904925419592,26,1.1346463185853006,32
Scranton - PA,1.00018676472402,112,1.0019544567560033,116
Seattle - WA,1.0289614065227053,61,1.106957947038748,41
Shreveport - LA,0.9735745940149592,148,0.9421074302642017,150
Spokane - WA,1.035458059697756,52,1.1272068740021013,37
Springfield - MA,0.9938703268256882,122,0.9873481159573003,137
Springfield - MO,1.0420592482205657,41,1.086133103305067,53
Stamford - CT,1.001600918720017,106,1.0056431320962724,115
Stockton - CA,1.0393649107519831,44,1.1152927031209388,39
Syracuse - NY,0.9806805720655473,143,0.9733465520717852,143
Tallahassee - FL,1.0316103973999344,57,1.05567596170721,74
Tampa - FL,1.0690582705434963,25,1.1507735095440303,27
Toledo - OH,0.9915487265769333,128,0.9871161964473167,138
Trenton - NJ,0.9980112756234832,114,1.0207899777287077,103
Tucson - AZ,1.0285816147275388,62,1.070172832070804,62
Tulsa - OK,1.0371258239923729,49,1.0691145706159135,64
Vallejo-Fairfield - CA,0.9960232810573969,121,1.0361452165750225,90
Ventura - CA,0.9836673557758967,138,0.9802145494070542,140
Visalia - CA,1.0147198658048644,81,1.0449564756751344,80
Washington - DC,1.019165244278074,73,1.071173786646242,60
Wichita - KS,1.0116453333943947,90,1.025706859557512,99
Winston-Salem - NC,1.0358118048836775,51,1.0684583259577118,66
Worcester - MA,1.010938868444369,92,1.0414741916509946,84
York - PA,1.0238308653091985,71,1.0496262317100886,76
Youngstown - OH,0.9784412916194759,146,0.9534022682425897,149
