Market,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4
Fort Wayne - IN,238634.90625,238809.90625,238996.203125,239145.59375,239304.796875,239468.09375,239602.40625,239761.90625,239931.703125,240091.59375,240253.796875,240449.09375,240662.203125,240878.40625,241093.09375,241320.09375,241568.890625,241817.203125,242052.5,242280.203125,239666.109375,239890.0,240110.5,240332.390625,240550.296875,240767.203125,240983.59375,241205.3125,241424.703125,241648.703125,241870.796875,242095.5,242317.09375,242539.390625,242756.1875,247597.203125,247835.0,243408.703125,243622.609375
Fresno - CA,448937.40625,449529.59375,450128.21875,450674.09375,451225.1875,451791.90625,452370.21875,452971.59375,453569.40625,454148.8125,454733.875,455445.59375,456239.90625,457047.09375,457888.3125,458736.0,459598.90625,460450.5,461290.0,462101.1875,456048.09375,456852.59375,457647.40625,458459.0,459256.59375,460050.0,460829.40625,461613.5,462394.0,463168.78125,463951.0,464725.90625,465512.09375,466287.1875,467066.09375,432176.90625,432923.8125,469390.5,470164.875
Grand Rapids - MI,608192.1875,608844.125,609573.125,610247.625,610948.9375,611664.1875,612394.0,613222.25,614077.0625,614929.375,615754.25,616565.4375,617404.4375,618247.3125,619109.5,619999.5,620904.8125,621811.25,622687.0625,623515.625,617144.5625,617885.6875,618611.8125,619338.6875,620053.75,620764.5,621468.3125,622178.5625,622886.125,623588.9375,624284.4375,624978.8125,625669.8125,626352.4375,627024.75,625213.9375,625920.5,629021.1875,629675.0
Greensboro - NC,368328.40625,368315.1875,368344.78125,368379.6875,368455.1875,368559.125,368670.90625,368806.625,368936.09375,369069.875,369201.0,369336.78125,369504.78125,369686.1875,369888.09375,370098.78125,370315.3125,370534.5,370739.8125,370923.5,366002.8125,366174.40625,366348.3125,366524.40625,366699.5,366873.0,367044.59375,367218.1875,367392.6875,367565.625,367733.5,367903.40625,368073.21875,368240.8125,368403.5,379155.09375,379392.0,368888.625,369043.78125
Greenville - SC,482887.5,483464.125,484128.21875,484834.6875,485584.59375,486331.78125,487045.6875,487741.09375,488408.8125,489058.59375,489696.59375,490343.5,491035.1875,491739.0,492458.1875,493192.90625,493945.8125,494700.0,495442.59375,496167.5,487265.09375,487965.59375,488665.3125,489357.09375,490049.71875,490744.375,491436.5,492128.5,492820.09375,493512.78125,494204.1875,494896.59375,495590.0,496282.71875,496974.09375,505664.21875,506415.5,499049.5,499739.28125
Gulfport-Biloxi-Pascagoula - MS,172154.796875,172109.40625,172096.890625,172153.5,172240.0,172321.796875,172391.296875,172458.09375,172516.296875,172570.796875,172630.0,172694.59375,172785.59375,172888.703125,172995.5,173107.0,173232.890625,173355.0,173468.3125,173571.796875,171519.203125,171608.3125,171696.5,171772.0,171847.703125,171923.90625,171999.203125,172071.296875,172140.5,172207.390625,172271.5,172334.203125,172394.8125,172453.703125,172510.0,171126.609375,171153.90625,172668.796875,172717.296875
Harrisburg - PA,371601.59375,371733.5,371916.59375,372086.59375,372257.28125,372403.09375,372540.3125,372676.5,372816.40625,372956.59375,373104.09375,373280.90625,373509.40625,373749.21875,374005.3125,374261.6875,374509.625,374758.5,374995.21875,375229.625,371216.875,371457.875,371702.09375,371950.0,372196.28125,372434.125,372670.09375,372904.21875,373136.40625,373364.28125,373590.59375,373818.21875,374043.21875,374263.5,374479.40625,381477.6875,381694.3125,375121.71875,375328.875
Hartford - CT,608907.3125,608885.0625,608876.875,608804.0,608768.9375,608718.3125,608620.9375,608572.5625,608491.5625,608420.75,608340.875,608318.8125,608358.25,608399.5,608499.0,608598.875,608709.5,608786.625,608848.875,608889.5625,604140.6875,604205.5,604259.1875,604326.4375,604380.1875,604436.5,604481.625,604509.6875,604550.5,604578.0,604603.5,604607.3125,604625.1875,604628.5,604641.5,655169.0,655171.5,604643.0,604649.4375
Honolulu - HI,470638.21875,470718.6875,470962.71875,471192.59375,471445.90625,471696.6875,471955.09375,472203.1875,472428.71875,472699.59375,472943.3125,473159.3125,473450.5,473734.3125,474042.125,474347.0,474624.125,474902.8125,475183.0,475475.09375,471836.59375,472101.40625,472358.0,472620.5,472871.78125,473122.90625,473364.59375,473599.90625,473839.0,474067.59375,474301.21875,474526.6875,474758.90625,474978.6875,475201.90625,483451.125,483708.71875,475850.0,476067.0
Houston - TX,3497150.0,3501523.0,3506544.0,3512233.0,3518326.0,3524413.0,3530132.0,3535675.0,3541275.0,3546882.0,3552577.0,3558389.0,3564490.0,3570836.0,3577296.0,3583808.0,3590603.0,3597365.0,3604117.0,3610906.0,3579753.0,3586590.0,3593387.0,3600016.0,3606557.0,3613068.0,3619596.0,3626110.0,3632605.0,3639135.0,3645611.0,3652143.0,3658652.0,3665162.0,3671643.0,3758665.0,3765433.0,3691116.0,3697552.0
