Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q2 QTD,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4,2036 Q1,2036 Q2
Chattanooga - TN,21316,21324,21324,21379,21665,21801,21983,22524,22524,22640,23009,23059,23342,23532,23532,23832,24049,24737,24992,25089,25108,25279,25370,25533,25727,25889,26489,26647,26697,27165,27562,27562,28138,28502,29303,29812,30345,30460,30460,30556,30798,30837,30798,30896,31125,31144,31271,31308,32047,32126,32217,32317,32423,32534,32648,32763,32881,32998,33116,33234,33351,33468,33584,33700,33816,33931,34046,34161,34275,34389,34504,34618,34732,34847,34961,35075,35189,35303,35417,35531,35645,35759,35873
Chicago - IL,489218,491734,494943,496180,497786,500579,502840,504047,505268,507095,510403,513705,515722,519216,520696,522628,526655,530038,531819,532622,534497,537691,540382,542224,544349,545313,546733,547744,550359,554728,556118,558601,561875,565031,566687,567652,569214,570720,571934,573253,574118,576009,574787,577694,579407,580168,581024,582694,584160,585492,586996,588415,589494,590671,591847,593067,594277,595444,596602,597765,598931,600097,601263,602429,603593,604755,605916,607074,608230,609384,610535,611684,612832,613978,615121,616263,617403,618541,619678,620813,621947,623078,624210
Cincinnati - OH,125804,126237,126919,127397,127737,128524,128810,129157,129145,130082,130522,130653,130638,130860,131052,131506,132311,133140,133480,133870,134164,134677,134400,134639,134843,135286,136329,137034,137976,138916,140730,141118,141910,143419,144205,145040,145877,146882,147473,148342,149714,150502,150198,150918,151100,151868,152518,152756,153123,153547,153763,153994,154257,154931,155239,155562,155895,156235,156578,156925,157271,157617,157962,158306,158649,158991,159333,159672,160012,160351,160688,161025,161363,161700,162036,162372,162708,163043,163378,163712,164046,164379,164711
Cleveland - OH,125726,125751,126299,126484,126720,127127,127540,128261,128261,128771,129729,129788,129813,130095,130267,130856,130969,131262,132000,132369,132467,132692,132721,132902,133348,133466,134309,134835,135218,136507,136692,137059,137346,137781,138070,138480,139167,139472,140581,140581,141100,141304,141100,141301,142135,142494,142759,142853,142990,143019,143075,143155,143257,143378,143517,143670,143836,144012,144198,144390,144587,144790,144997,145207,145418,145632,145847,146065,146285,146505,146726,146949,147172,147396,147620,147846,148072,148299,148527,148755,148983,149213,149442
Colorado Springs - CO,40902,40902,41070,41348,41657,41657,41643,42179,42179,42227,42685,42685,42957,43269,43269,43701,44122,44554,45158,45716,45720,45750,45943,45943,45943,46437,46958,47274,48539,49439,50208,50582,52073,54269,55819,56644,56901,57750,58580,58996,59266,59315,59266,59313,59875,60509,60676,60738,60879,61281,61510,61766,62044,62339,62649,62969,63296,63627,63960,64292,64625,64956,65286,65616,65945,66274,66602,66930,67257,67583,67909,68235,68560,68885,69210,69534,69857,70179,70501,70822,71142,71461,71779
Columbia - SC,35484,35724,36148,36148,36148,35673,35673,35673,36061,36412,36616,36901,37031,37217,37217,37361,37617,37675,37791,37791,37911,37911,37943,37943,37943,38234,38284,38361,38361,38613,38916,38916,39486,39965,40021,40088,40088,40357,40740,41012,41608,41920,41920,42093,42092,42410,42949,42990,43060,43260,43364,43478,43870,43996,44126,44258,44392,44527,44661,44796,44930,45063,45196,45329,45462,45594,45725,45857,45988,46119,46251,46382,46514,46645,46777,46908,47039,47171,47302,47434,47565,47697,47829
Columbus - OH,170360,170951,171776,171865,172611,174028,176082,177364,177927,180057,181538,182160,183373,184928,185767,185926,187769,190387,191157,192595,193591,195086,197495,198638,199226,201109,202438,203410,205009,208515,209810,211979,213363,215117,216884,219037,221648,223806,226356,228385,229819,232281,230599,233531,235555,237075,238416,239782,240971,241771,242624,243689,244838,245798,246895,247937,249001,250081,251169,252261,253353,254444,255530,256612,257689,258762,259829,260891,261949,263002,264052,265097,266138,267176,268212,269245,270274,271303,272328,273351,274373,275393,276411
Corpus Christi - TX,26068,26814,26934,27449,27737,28377,28701,28773,28938,28896,28992,29216,29546,29762,29762,29828,29916,30465,30465,30825,31176,31176,31176,31176,31181,31237,31387,31877,31877,32005,32389,32461,32764,33004,33340,33456,33702,33702,33702,33702,34082,34082,34082,34081,34152,34150,34151,34163,34183,34209,34239,34273,34309,34347,34387,34428,34469,34511,34554,34596,34639,34682,34725,34768,34811,34854,34898,34941,34984,35028,35072,35115,35159,35203,35247,35291,35334,35379,35423,35467,35511,35555,35599
Dallas-Fort Worth - TX,647371,653620,661364,665530,672248,677415,686905,692440,698447,703189,711247,715876,722975,730397,733887,741391,748546,753209,759957,767164,775533,782714,787798,793569,798932,804006,813895,818909,824864,832169,840042,850056,860743,872863,882183,891527,898355,911006,919139,923740,931868,939203,934262,944082,949583,953298,956931,959311,963241,967448,971338,975880,980062,984396,988617,993297,998044,1002902,1007489,1012103,1016522,1020898,1025234,1029542,1033825,1038089,1042338,1046572,1050793,1055001,1059199,1063387,1067567,1071740,1075907,1080070,1084227,1088380,1092527,1096668,1100803,1104929,1109047
Dayton - OH,47349,47851,47851,48172,48172,48172,48305,48531,48739,48970,48964,48964,48944,49050,49362,49834,49918,50298,50261,50261,50261,50261,50201,50201,50159,50419,50419,50419,50805,51252,51705,51705,51846,52183,52196,52196,52320,52320,52630,52876,52987,53170,52987,53518,53956,53954,54224,54417,54466,54532,54609,54696,54790,54888,54990,55095,55203,55311,55419,55527,55633,55739,55843,55946,56048,56149,56249,56348,56446,56543,56638,56733,56827,56920,57012,57103,57193,57282,57371,57458,57545,57631,57715
