Market,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1
Charlotte - NC,1,1.0204702124878526,1.0353199252115501,1.0453163449134193,1.060035348340276,1.0838926365201775,1.0956110091326017,1.1029591448202178,1.1138648465870666,1.1325392269965846,1.145473764370919,1.1661315162846735,1.1800378488659549,1.203423446974648,1.2216261373129578,1.2445684604149736,1.265265993419071,1.2885151992180175,1.3197831362275023,1.3454930866147996
Chattanooga - TN,1,1.0102426092544987,1.0141388174807198,1.0149019922879177,1.0217705655526992,1.0217705655526992,1.0283178020565553,1.0361102185089974,1.0417737789203085,1.0658740359897172,1.0722204370179949,1.074228791773779,1.0930269922879177,1.1089733290488433,1.1089733290488433,1.1314669023136248,1.1451237146529563,1.177297557840617,1.195814588688946,1.216741645244216
Chicago - IL,1,1.0033107256287572,1.0048014873949265,1.0082450161421255,1.014095835219387,1.0190413485314969,1.0224736544799542,1.026444654768006,1.0282571367647664,1.0316557743169992,1.0337899765443506,1.0388383655115914,1.0467597909566688,1.0496870709617565,1.054015330343081,1.0599372271457055,1.0659002742103827,1.0691717200435444,1.0705240672919012,1.0727574042414698
Cincinnati - OH,1,1.0025630394632694,1.0055029964946667,1.0077192717952583,1.01158644604425,1.009498322716822,1.012302589423693,1.0132599600467378,1.0175040518638574,1.0253665523350044,1.0292261882326335,1.036877614865629,1.0439636651464326,1.0569522445441182,1.059831894764615,1.0648675134748031,1.0756850476800723,1.0819268026082696,1.0882364026987297,1.0917869661904942
Cleveland - OH,1,1.0062134928207396,1.0090758883898443,1.0098360910071134,1.0115814541590065,1.0117676262285418,1.0131716739196202,1.0166313715451507,1.0174924173667512,1.023395623404932,1.02747589459558,1.0304468905385802,1.040445882106537,1.0428661190104955,1.0457130002404722,1.0482883805357102,1.051670506465601,1.0567592096995648,1.0599939494077402,1.0653231248981871
Colorado Springs - CO,1,1.0136924192963366,1.0261153427638738,1.025911316648531,1.025684620964817,1.0300598476605005,1.0300598476605005,1.0300598476605005,1.0412586144359812,1.0539762422923467,1.0597796517954299,1.088456655785274,1.1088592673195503,1.1252040261153429,1.1336824446862532,1.1674827711280378,1.2172651432716721,1.2524029742473703,1.2711053681537903,1.2813746826260428
Columbia - SC,1,1.0029957130313516,1.0029957130313516,1.0060947265120603,1.0060947265120603,1.0069211301069159,1.0069211301069159,1.0069211301069159,1.0144362377976344,1.016992923919219,1.0177160270647176,1.0177160270647176,1.0242239553742059,1.032048964412995,1.032048964412995,1.0467692784463611,1.0591395072568566,1.060585713547854,1.0622385207375653,1.0622385207375653
Columbus - OH,1,1.0040353221706888,1.0115714173414039,1.017671566700731,1.02550638052564,1.0381259334957944,1.0441160286141027,1.047103215156041,1.056185310379163,1.0631501716322092,1.068244110787936,1.077829311112858,1.0948772371144826,1.102701569583104,1.1141629326834892,1.1209496108796477,1.1303933128946886,1.139653591174698,1.149537510153814,1.1614600529308492
Corpus Christi - TX,1,1.0,1.0118862878462707,1.0234754184963846,1.0234754184963846,1.0234754184963846,1.0234754184963846,1.0234754184963846,1.0253243966058045,1.0302770165417505,1.043748142767524,1.043748142767524,1.0479743784461981,1.06065308548222,1.06065308548222,1.0706573777528312,1.0785815696503451,1.0896754383068643,1.0935054643906628,1.1016277610856142
Dallas-Fort Worth - TX,1,1.0088460369278756,1.0183648114616513,1.0294246705700427,1.039053144949181,1.0459906689047198,1.0545855857046562,1.0606296506786852,1.0675830348528303,1.079624905829952,1.085464109646978,1.0940088024213268,1.1040179220470256,1.114534568668138,1.1279047329535692,1.1416225003634632,1.1572170603084813,1.170291167179921,1.1834644004176524,1.1925443755699765
