Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1
El Paso - TX,42538,42886,42866,43123,43151,43251,43711,43801,43801,43801,44009,44037,44037,44237,44506,44506,44704,44715,44715,44715,44715,44763,44999,45157,45391,45429,45593,45593,45768,45976,46201,46295,46365,46571,46651,47136,47136,47136,47412,47673,47801
Fayetteville - NC,23507,23507,23507,23507,23507,23507,23507,23507,23507,23507,23507,23507,23507,23507,23507,23507,23603,23603,23603,23603,23603,23603,23603,23524,23524,23524,23540,23540,23540,24144,24153,24536,24546,24546,24801,25001,25181,25228,25300,25660,25660
Flint - MI,19723,19723,19723,19723,19759,19759,19759,19748,19748,19748,19748,19748,19748,19748,19748,19840,19840,19840,19902,19902,19902,19916,19916,19916,20026,20036,20036,20036,20036,20036,20036,20084,20084,20212,20212,20212,20212,20278,20278,20278,20352
Fort Lauderdale - FL,108712,109759,110178,112050,112497,113022,114567,115952,116346,117148,117516,118337,118647,119870,120177,120378,120411,122620,124812,126146,127107,127368,128090,128429,129769,130497,130869,131513,133058,134122,136136,136966,138402,139545,141172,142541,143677,144431,145345,146048,147611
Fort Myers - FL,16801,17108,17396,17396,17721,17749,18001,18294,18294,19048,19368,20028,20075,20097,20812,21139,22216,22928,23838,25464,26118,26706,27550,28172,28582,28582,29368,29850,30239,30245,30661,31881,32171,33486,34873,35379,36607,37830,38242,39709,40191
Fort Wayne - IN,21947,21947,21999,22173,22377,22540,22540,22540,22540,22664,22968,22968,22968,22968,22968,22968,22984,23024,23234,23270,23270,23270,23450,23450,23565,23565,23565,24188,24188,24215,24740,24740,25024,25024,25421,25813,25843,25843,26299,26332,26332
Fresno - CA,54079,54111,54244,54244,54244,54728,54681,54697,54697,54720,54698,54698,55074,55244,55308,55308,55692,55966,55974,55974,55980,56138,56138,56434,56770,56849,57425,57638,57638,57646,57646,58000,58076,58509,58740,58762,58762,59181,59261,59261,59357
Grand Rapids - MI,42361,42461,42694,42834,42880,43565,44276,44276,44827,45029,45238,46018,46100,46306,46724,47130,47375,47705,48966,49176,49194,49693,50061,50061,50137,50671,51001,51124,51701,51773,52462,53223,53469,54069,54225,54594,54869,54962,55268,55799,55874
Greensboro - NC,43113,43316,43316,43316,43427,43927,44095,44368,44428,44572,44572,44851,44851,45102,45345,45533,45533,45773,45963,46516,46521,46751,46999,46999,46999,47263,47311,48091,48091,48148,48148,48556,48729,48991,49579,49579,50149,50149,51134,51614,51878
Greenville - SC,36837,37550,37796,38566,39287,39954,40470,40470,41008,41018,41414,41685,41705,42549,43077,43607,43912,44949,45063,45083,45277,46144,46951,47850,47843,48134,48116,48964,49433,50960,51147,51591,52261,53247,53594,54814,55092,55280,55927,56139,56139
Gulfport-Biloxi-Pascagoula - MS,17843,17843,17843,17843,17843,17843,17843,17843,17843,17843,17843,17843,17843,17843,17843,17843,17843,17873,17873,17873,17913,17913,18019,18283,18283,18283,18516,18516,18566,18771,18771,18771,19083,19083,19083,19083,19117,19117,19117,19179,19653
Harrisburg - PA,27974,28062,28068,28068,28068,28418,28493,28517,28549,28549,28549,28847,29257,29329,29629,29629,29724,29772,29772,29772,30065,30104,30104,30104,30320,30320,30655,30848,31093,31225,31828,31850,32366,32449,32915,32915,33077,33329,33412,33412,33412
Hartford - CT,61240,61273,61817,62207,62537,62968,63036,63602,63847,63837,63880,64256,64326,64849,65533,65818,66221,66594,66704,67199,67199,67292,67578,67578,67554,67616,67732,67965,68291,68694,69010,69048,69289,69652,70163,71050,71505,71705,72223,72603,73049
Honolulu - HI,28696,28696,28752,28752,28752,28752,28975,28975,28975,28975,28975,28975,28975,28975,28975,28975,28965,29465,29465,29783,29783,29783,29773,29773,29736,30137,30137,30137,30137,30137,30137,30137,30137,30137,30137,30137,30137,29996,29996,29996,29996
Houston - TX,567848,573825,578563,582213,587271,591726,596100,597750,599361,601149,603876,604996,605764,611344,614266,617688,623751,628268,633661,639196,642014,647283,651402,657667,662991,666276,671067,674474,678536,686696,693176,699451,705399,713104,716921,723931,727899,730361,735151,737175,742025
Huntsville - AL,25755,25755,26492,26492,26492,26492,26792,26792,27014,27014,27014,27302,27546,27718,27718,27718,28097,28097,28431,29056,29314,30214,30682,31363,31777,32589,33496,34666,36161,37858,39272,40352,42606,44204,45978,46492,47385,48548,49420,49875,49875
Indianapolis - IN,144647,146115,146656,147123,147410,148022,148361,149178,149681,150532,150987,152218,152308,152978,153106,152917,154194,154941,155296,155745,156460,157269,157704,158215,159108,159824,160111,160526,161180,162536,164257,166240,167396,170307,171674,172752,173661,174983,176909,177746,178350
Inland Empire - CA,158963,158981,159776,159784,160121,160070,160825,160878,161362,161702,162952,163242,163406,163406,164512,165304,165746,166611,166791,167176,167176,167335,167838,168112,168740,168868,169912,170250,170689,171075,171961,173579,174121,174706,176388,177720,178676,179982,180334,182104,182254
Jackson - MS,26987,26987,26987,27267,27267,27267,27390,27390,27390,27390,27390,27390,27390,27390,27390,27390,27390,27390,27764,28364,28364,28364,28502,28502,28502,28515,28515,28515,28627,28627,28751,28751,28614,28614,28614,28621,28621,28621,28585,28585,28585
Jacksonville - FL,82467,82467,84065,84145,84410,85206,85619,86462,86474,87348,87941,88986,90184,91029,91848,92905,94669,95393,96554,97321,98129,99202,99762,100490,102320,102626,104977,106386,108621,110654,112470,114016,116865,119243,121148,123254,125245,125946,126759,126967,127911
Kansas City - MO,140995,141234,142190,143488,145011,146507,147597,148182,148935,149604,150707,151954,152076,152282,152760,154140,154849,156527,158825,160367,160281,161571,162611,164411,165419,166460,167688,169222,170552,170891,172934,174214,175555,176002,176952,178208,180647,181012,182072,182543,183238
Killeen - TX,18377,18717,18717,18923,18887,18887,19183,19183,19201,19201,19463,19463,19729,19729,19729,19757,19771,19771,19771,19996,20066,20066,20116,20116,20282,20428,20428,20428,20764,21063,21063,21479,21931,22502,22502,22869,23049,23049,23518,23518,23626
Knoxville - TN,35371,35297,35431,35507,35727,35727,35973,35973,35973,36521,36554,36554,36857,36865,37147,37737,37783,37813,38116,38116,38403,39197,39275,40298,40489,40681,41009,41347,41453,42477,42950,43779,44283,44667,45065,45567,45723,46636,47163,47611,48246
Lafayette - LA,13221,13221,13469,13469,13689,13689,13689,13689,13689,13864,13864,13864,13864,13864,14104,14104,14116,14140,14140,14140,14140,14140,14140,14397,14397,14397,14493,14493,14493,14722,14890,14890,14890,15608,15608,15751,15761,15871,16123,16454,16454
Lakeland - FL,18353,18353,18380,18437,18437,19013,19013,19133,19181,19181,19507,19507,19507,19507,19987,19987,20237,20598,21198,21861,22203,22303,22883,23380,23380,23848,24267,24776,25301,26922,27222,27558,28663,30528,31753,32805,33563,33563,33948,35214,35709
Lancaster - PA,15400,15425,15660,15660,15734,15807,16067,16173,16197,16197,16304,16562,17155,17185,17211,17211,17426,17426,17545,17545,17872,17902,18028,18028,18079,18223,18271,18464,18479,18504,18512,18512,18881,19163,19403,19607,19772,19840,19840,20120,20192
Lansing - MI,28617,28843,28851,28872,28866,29027,29071,29071,29113,29775,29775,29775,29775,29775,29775,29783,29816,29961,30448,30488,30482,30774,30804,30825,31006,31006,31006,31006,31238,31287,31383,31383,31383,31383,31383,31491,31491,31491,31676,31683,31683
Las Vegas - NV,158933,159743,160510,161174,163173,164106,164390,164697,165562,166748,166748,167285,168005,168896,169842,170222,170722,171596,172496,173933,174715,175414,175995,176894,177035,177681,178946,179050,181017,181933,183420,185179,186756,187564,188336,190123,191272,192831,193547,194118,194430
Lehigh Valley - PA,30991,30991,30991,31087,31117,31429,31681,31681,31837,32287,32426,32426,32541,32712,32891,33013,33031,33036,33354,33557,33835,33847,33847,34069,34595,35176,35628,35799,35947,36067,36208,36382,36436,36586,36705,37154,37335,38057,38201,38207,38524
Lexington - KY,33870,33875,34071,34712,35082,34986,35335,35335,35854,35854,36114,36114,36426,36474,36483,36425,36425,36425,36836,36942,37250,37474,37474,37623,37623,37623,37623,37893,38318,39000,39100,39100,39100,39357,39357,39787,39952,40166,40245,40245,40405
Little Rock - AR,46304,46304,47287,47530,48245,48688,49051,49051,49067,49151,49466,49629,49705,49758,49758,49857,50342,50365,51484,52059,52233,52325,52577,52861,53162,53216,53258,53258,53318,53318,53567,53567,53677,54080,54480,54763,54827,55401,55401,55401,55401
Long Island - NY,49134,49416,49959,50049,50049,50357,50548,50589,50878,50867,51408,51599,51599,52109,52457,52883,52959,53257,53669,54314,54540,54590,54918,54995,55178,55476,56162,56211,56286,56348,57186,58088,58720,58745,58788,59003,59189,59587,59627,59802,60020
Los Angeles - CA,963178,967255,968684,972019,972757,973902,975739,976709,977728,980256,983204,986421,989340,991021,993261,996923,999252,1001871,1004956,1008225,1010768,1013620,1016356,1019465,1021854,1023968,1026160,1029325,1031778,1035393,1038498,1040009,1042056,1044713,1047093,1049347,1051153,1053410,1057968,1059720,1062016
Louisville - KY,73887,74076,74989,75276,75473,76124,76361,76405,77248,78496,78662,79286,79548,80182,80656,81346,82377,83078,83357,83907,84451,85017,85934,86092,86892,87129,87734,88489,89145,89549,90209,90648,91694,92582,94064,94747,95431,96690,96690,97234,97300
Madison - WI,53757,54815,55560,55972,55967,57089,58187,59131,59929,60158,61451,61685,62184,62406,63282,63353,63578,64281,64674,64748,64834,65904,67382,67871,68114,69034,69968,70327,71490,72683,74392,74929,75239,76293,77179,77795,78376,79042,79714,80063,80085
Manchester - NH,21557,21557,21557,21797,21809,21809,22038,22038,22197,22197,22197,22197,22197,22205,22741,23021,23082,23082,23082,23082,23082,23261,23261,23273,23310,23542,23635,23648,23913,24043,24055,24589,24815,24959,25309,25486,25592,25924,25924,26162,26162
