Market,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1
Baton Rouge - LA,137.3138920448,138.149593156201,137.064260813254,136.689391028876,137.121290636344,139.400826034666,141.489544443327,143.284678443287,144.205094636198,144.725487084954,146.093440983206,145.77918867469,147.582064526301,147.906251254429,147.828972618169,145.799357932887,146.188058127473,148.809424855915,151.988003392209,153.867113249122,156.164071397947,159.75730580171,165.161316388801,173.617760640094,182.593451378575,190.318126092079,195.480696303108,199.528779861077,205.945062910476,210.882789832391,215.445509279372,214.307592724658,210.54463145688,203.243360495733,197.134337557699,191.954126604188,190.034456137632,189.609190344281,191.087884242533,191.391386472218,191.764037328107
Beaumont - TX,157.011995625065,160.052387703052,162.68831395271,164.826110924779,166.173181769836,166.257397203203,166.151027862844,166.399682222953,168.321205496271,169.843764333082,171.282402098339,171.42861227111,172.83378702833,173.266514000577,174.794327167916,175.977058563983,178.808181297483,181.511641904103,184.319029385536,189.150901265031,197.476177178773,205.657949254596,212.510075113732,217.979038538474,224.50674011804,232.370877913842,239.683399550364,245.242943195088,246.338613072358,243.047436980989,237.053730317111,229.978312535521,222.945119008341,216.707816832038,212.048378604969,209.457947546789,208.590072998331,208.273534538583,208.844344081568,210.426137065924,213.342182110149
Birmingham - AL,154.073380006816,155.913216062624,157.458363082876,159.754382002207,161.601829230591,163.093579425507,164.115881134448,165.143493143837,167.053313850254,169.451641210361,172.099412934039,174.147202273269,176.750422286682,179.912735901372,184.165525804135,186.899833451596,189.420997316965,191.635479307722,193.729465243517,195.569170773328,198.350473033384,202.281243891314,206.239551867226,210.606437539006,218.016316454446,227.017556992282,235.385271359693,240.506372570526,243.729014766144,242.756856517643,238.288855908145,230.819008045526,223.214864651979,216.226193995239,210.267609833789,206.52184111691,204.688232020704,204.631239065113,204.79951369563,207.929427669467,211.598126473547
Boise - ID,139.477395888415,142.205177760445,146.666195977861,149.405243524782,152.619685227938,154.227492677105,155.818388961678,157.558698535038,159.537540229387,162.121763972898,164.352948737244,166.26283719983,168.572763586113,171.16876543133,172.856977287442,175.922529380373,178.757724204801,185.553856069996,192.311457470925,203.465842889766,212.813189992033,221.986634903723,229.911813268521,240.323781815815,253.68161808676,270.088325021608,292.383455964572,313.874759637469,330.072612851925,335.28871574972,334.228615141308,327.772017026524,321.134975107808,312.523511847592,305.315212445035,299.644127555408,298.665451043737,300.868181213233,303.520059164793,306.558984154927,310.966415204582
Boston - MA,167.923292115046,172.671385959636,177.262128950225,180.488936021655,183.694406807242,185.550032898043,187.539521772489,189.370500455897,192.094002971481,195.134096813462,197.928486720181,200.096210216961,201.998458541489,204.657934559542,206.906986282196,210.4149046794,213.943359186611,218.191954020374,221.320853950855,223.982306061953,226.062530742035,227.920831078325,231.531256486964,237.920451469426,248.692206565127,260.516338812252,270.887592498355,277.782734871487,282.513643300093,287.236875566211,286.234651984239,281.554043881109,273.751837243724,267.555094702952,262.03836672498,258.397466025013,258.183799753539,259.527662903993,262.596643637616,265.223204974907,269.852929122393
Brownsville-Harlingen - TX,144.044337008034,146.17244695618,148.036911436564,149.393784629636,149.75859294867,151.459188857701,151.483250509488,152.3428313694,152.094830255571,154.096401069595,157.416102044412,159.690876559558,160.98600936079,161.044713208685,161.022700727248,162.285759490382,163.420579550223,165.638722356712,167.038498545076,168.844484605088,171.219173091686,174.356784426049,178.16405938482,183.239108343112,190.235312757406,198.686249214378,206.569729352984,212.324782189965,215.054610235329,214.42040990757,210.839187175884,205.040410631944,198.492719706346,192.423406468916,187.900581007274,182.323839138638,178.354469742131,175.553878700486,176.620939524742,178.528873855822,180.796624092914
Buffalo - NY,157.279463619659,160.599742646413,163.782986400609,166.988363676047,169.234370849494,169.786654658484,171.976102025472,173.999545900409,177.656194657615,179.997411866994,183.767195629107,186.887402390134,191.523813275305,193.55455525889,195.843050898536,196.312289289919,198.449986577779,201.045184133082,203.499706629371,205.143022256622,207.086618136568,209.513841854101,214.54126423066,220.464218440793,228.027332994887,235.413849026642,241.614855102139,245.375575266423,246.009893497008,244.120441386692,243.806822783428,241.286610271841,238.149651881869,231.278535442728,226.378736674542,223.341831589219,222.430565565039,223.004226317297,226.609843813913,230.931049427336,235.653915585591
Canton - OH,143.933525222148,146.335774284289,148.339765715561,149.076705193451,149.881586832577,150.176967558898,150.844632482807,151.602390469507,152.860255004049,153.735507985661,155.459306544094,158.690349747062,162.624707740546,165.749944904796,167.098385082628,168.299931803955,169.697196223997,170.902212963691,173.021926577992,175.360105396475,178.742284050058,182.380841574583,186.689218422139,192.23562716955,199.112097164021,206.051500014391,211.83571959217,215.156684518812,217.013070708031,215.57867182478,211.182850116922,205.07882180729,199.365699056478,194.925590497428,191.240410187665,189.119713646358,189.014310482726,190.30488423202,192.478467572307,195.954092751875,199.826355000555
Charleston - SC,153.761035352558,157.825653548007,162.02303133272,165.162492926785,168.151037817881,169.862888547728,173.424083157114,176.227366813575,179.775650653108,181.812859228663,183.776975009933,186.322698582283,189.39923244214,193.104553877478,196.1244810151,198.96458234713,202.413695031073,205.973658949076,209.982981249386,214.077984586153,218.44629278406,222.69997183718,227.632880126651,235.210616661007,246.488221862096,261.870473635063,275.34350434836,286.368279573878,292.616320687149,295.050715803847,293.589750449906,288.461699538394,283.427567607133,276.790186168235,270.426293057835,266.434861178045,266.482663779479,268.703660887887,271.456257653378,274.14608811555,277.700559778103
Charlotte - NC,156.871353032985,160.330130894112,163.113308552337,165.652735547592,167.525201793535,170.36811905051,172.966407841797,175.855624095824,178.472833277312,180.963686252057,183.257183827164,185.340448291675,188.233443965319,191.456322081189,195.071645366729,198.310889121325,202.409876634013,206.612226311657,212.278447053395,216.726750870162,221.563805968545,226.149620943242,233.134320083373,242.320739759572,254.285635307745,269.026713643645,283.421497264044,294.904814617068,303.592159947325,306.517770982113,304.077792097142,295.76503342597,287.11441341366,279.193076175271,272.504088297219,267.737722102893,266.212913583743,266.09455956198,267.808921928671,270.490743847364,274.488658227257
Chattanooga - TN,166.986930413555,170.649112244613,173.136719844781,176.467146292755,179.152413323234,182.294939217442,184.751197710876,188.13250857005,190.955290922107,193.435097317583,195.817316374339,198.639185193366,201.429034433281,204.899065631988,208.315069222356,211.702102109775,214.237222054247,217.339471163153,218.323493848357,221.14280295399,224.222160317366,231.879730329032,239.12199044547,249.157325168758,262.409267195493,278.154841520757,298.271182351087,313.578201565752,324.609060856762,323.971889153557,319.134535703173,310.591856813045,302.421703727014,296.06402919198,290.500403096123,287.615417044849,287.495714346574,290.261941821981,291.436384307307,292.062948775431,293.53418890005
Chicago - IL,162.056421254385,164.679718107576,166.798817837191,169.199747942265,171.828470303417,173.584847030233,174.23118687276,174.930688854768,176.653946714487,178.691273244505,180.359290481011,181.442054326377,183.396480777961,185.212449167883,187.666128603637,189.990618256917,192.8168491635,195.159627997951,197.087678458153,198.754317468088,200.500788823988,202.032360741884,204.203643811316,208.903127631487,217.293117567237,226.469254955049,233.968402936225,238.686697696474,241.490696844444,240.778022354632,235.319799288148,228.682980687748,221.606026052127,216.633248379391,210.396579255523,207.00349310666,205.375404734733,206.126129996127,207.387813585966,209.207855925601,212.726335322123
Cincinnati - OH,155.366705389255,157.940086074212,160.181151831524,161.987178868264,164.896846013061,166.96330984033,168.587606551249,169.334092408008,170.757692694716,172.275285762369,174.063275411688,175.274762282659,178.146115670767,180.827220346711,184.426856102861,186.865258744113,189.882628525776,192.706028570147,195.579324182121,198.935721265988,202.572629749767,206.549854782246,211.356001177386,218.024143270808,224.72135684685,232.18047108664,238.533331156671,245.530137177949,249.837904673732,250.432726607323,247.209970989014,241.652970811797,239.323816595488,236.828533979959,235.121819291962,232.096318048249,233.409218759303,237.808890001965,242.894292652165,246.936692155333,250.488835747878
Cleveland - OH,143.97715786525,146.548947467347,149.435871265851,151.839237797805,154.048496541665,155.147437120507,155.90965792855,156.888739781018,158.135548452081,159.850231556235,161.177206590572,162.767988754365,164.631822771753,165.875728154284,166.45477928925,166.842064620706,168.684931689744,170.548283709964,173.180885987863,175.784978759738,179.302756435095,182.237508161034,186.513048686689,191.983656004781,199.144353722572,206.783018809421,213.197009496531,217.113648671372,217.933338876013,220.349646352821,220.615913231336,217.744849764656,210.654865664762,205.031971582981,201.657527077605,199.858929476044,196.257449212209,194.237010657276,192.803162851723,194.130745367758,195.934558177512
