Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1,2026 Q2 EST,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2,2035 Q3,2035 Q4
San Antonio - TX,55329.73046875,55558.48046875,55796.94921875,56105.0,56316.80078125,56550.8984375,56683.98046875,56774.0,56741.01953125,56772.3515625,56987.0390625,57378.98828125,58560.28125,59859.1015625,61145.94140625,62355.0,62621.5,61828.46875,61393.6015625,61214.30859375,61657.3984375,63549.08984375,65208.69921875,66775.0,68146.7265625,69069.390625,69949.1171875,70538.0,71216.1484375,71792.828125,72343.8125,73195.0078125,74305.140625,75649.7578125,76957.3125,78112.0,78864.4921875,79497.3984375,80095.28125,80486.109375,80742.3671875,80982.8203125,81181.7890625,81635.1484375,82431.3125,83297.9921875,84286.359375,85232.1015625,86129.6015625,87017.078125,87839.3984375,88664.421875,89502.1171875,90338.609375,91202.6796875,92071.140625,92930.140625,93783.5625,94625.65625,95462.0,96290.46875,97111.40625,97932.2265625,98755.3203125,99582.2890625,100417.6171875,101254.1328125,102099.953125,102959.7578125,103825.453125,104700.09375,105568.21875,106426.21875,107271.3671875,108099.1875,108913.2265625,109715.6171875,110506.6484375,111291.8203125,112075.390625
San Diego - CA,67900.3515625,68601.859375,69645.7578125,70824.0,72132.890625,73542.046875,74825.1015625,76206.9921875,76985.21875,77682.171875,78414.71875,79078.9921875,80414.6171875,81732.5234375,82835.2890625,83985.0,84739.0625,83717.21875,83626.8203125,84074.34375,84326.0,86820.4375,89041.03125,91003.0,93530.6484375,95630.65625,97487.28125,98928.0,100043.2578125,101367.796875,102463.5234375,103674.0,105296.546875,106607.890625,107854.2421875,109132.0,110193.5703125,111076.71875,112024.7734375,112873.6015625,113269.3671875,113901.1328125,114498.2421875,115200.1484375,116303.140625,117536.1484375,118905.9765625,120248.3125,121550.6171875,122840.109375,124068.4921875,125297.09375,126544.9765625,127799.9921875,129084.578125,130379.078125,131665.09375,132948.796875,134227.046875,135502.9375,136777.40625,138049.734375,139326.546875,140612.765625,141908.875,143218.5,144535.015625,145866.25,147216.875,148577.8125,149951.796875,151322.40625,152674.515625,154010.65625,155323.78125,156615.8125,157893.1875,159155.953125,160412.125,161667.453125
San Francisco - CA,98925.4921875,101003.359375,103411.0078125,105874.0,107768.8828125,109605.78125,111176.71875,112832.0,113690.1015625,114709.8515625,116103.0,117687.0,121478.5703125,125152.4765625,128008.078125,130357.0,129821.59375,125551.3515625,122010.7734375,119306.1171875,117443.34375,119975.0078125,123447.6171875,127097.0,131862.546875,135731.9375,138589.953125,139873.0,139614.96875,139405.609375,138574.546875,138562.015625,141060.203125,143511.984375,146258.015625,148994.0,150214.71875,151106.78125,152125.296875,153095.875,153629.234375,154700.234375,155838.4375,157242.234375,159418.875,161848.5625,164546.40625,167207.15625,169785.296875,172344.890625,174784.03125,177208.875,179630.40625,182046.4375,184507.84375,186980.984375,189448.734375,191913.1875,194368.140625,196820.5,199269.8125,201712.203125,204159.40625,206617.03125,209088.0,211582.703125,214088.5625,216623.90625,219195.09375,221789.3125,224413.96875,227041.265625,229636.34375,232203.390625,234731.59375,237225.515625,239711.953125,242186.765625,244662.078125,247146.671875
San Jose - CA,103878.828125,105717.859375,107817.546875,110040.0,111604.1796875,113401.4921875,115390.1015625,117473.9921875,119459.421875,121352.8828125,123050.5,124695.9921875,126678.8515625,128352.359375,129625.8515625,130865.0,130556.359375,128212.5234375,126988.328125,126502.5703125,127962.1484375,132188.703125,136277.15625,139892.015625,143035.0,145465.5,147544.15625,148900.0,149638.40625,150665.3125,151542.515625,153202.015625,155402.0625,157978.59375,161078.3125,164800.984375,168842.5625,172125.953125,174770.5625,176519.359375,177567.65625,178931.4375,180377.859375,182031.984375,184288.90625,186843.140625,189685.5,192542.03125,195357.40625,198160.359375,200862.65625,203544.046875,206223.40625,208902.9375,211623.109375,214360.484375,217097.734375,219839.90625,222581.953125,225328.0625,228077.390625,230825.265625,233586.28125,236369.1875,239175.875,242012.265625,244863.40625,247739.96875,250648.515625,253577.3125,256530.65625,259484.59375,262407.9375,265308.125,268177.09375,271020.90625,273862.125,276697.5625,279538.375,282393.25
Santa Barbara - CA,64264.01171875,65060.51171875,66233.6015625,67436.0,68311.5703125,69279.34375,70032.890625,71105.9921875,72582.203125,74251.4609375,75999.84375,77472.0,77602.359375,77147.8515625,76258.9921875,75653.0078125,76393.0390625,75837.2265625,76667.8515625,77808.2421875,78128.9765625,80803.34375,82964.40625,84846.0,87343.0390625,88947.15625,90097.5703125,90894.0078125,90864.7890625,91068.5078125,91103.46875,91197.0,92266.296875,93270.171875,94348.6171875,95637.0,96624.59375,97332.671875,98090.75,98710.828125,98949.15625,99487.546875,100036.703125,100751.890625,101957.0234375,103301.0703125,104828.921875,106309.0078125,107723.4765625,109115.953125,110406.9765625,111685.0,112960.9765625,114226.890625,115522.671875,116820.0625,118103.5703125,119374.8125,120629.5,121874.5703125,123111.1796875,124340.8125,125572.8671875,126811.921875,128059.3125,129318.921875,130581.109375,131857.453125,133151.296875,134454.453125,135772.703125,137082.984375,138371.71875,139636.0625,140866.6875,142069.359375,143256.453125,144425.578125,145585.484375,146742.78125
Santa Rosa - CA,67952.203125,69645.8125,71731.5625,73928.9921875,75740.078125,77518.40625,79054.3671875,80409.0078125,80658.46875,80802.7265625,81050.3984375,81395.0,83168.09375,84849.390625,86327.2734375,87828.0,88933.640625,88323.34375,88668.7265625,89208.7734375,89327.359375,91465.703125,93010.7265625,94295.0,95497.5234375,96207.421875,96563.0,96830.0,97441.421875,98476.453125,99576.578125,100706.9921875,102631.453125,104179.7890625,105647.4609375,107274.0,108103.578125,108922.09375,109817.1484375,110579.6015625,110877.7265625,111387.2109375,111914.6015625,112659.359375,113911.2890625,115317.2265625,116923.3203125,118478.9609375,119965.890625,121427.09375,122773.828125,124105.7890625,125445.5703125,126778.640625,128150.5234375,129529.0625,130891.921875,132244.5625,133580.015625,134906.59375,136227.3125,137544.21875,138869.296875,140206.28125,141554.703125,142918.953125,144286.65625,145670.296875,147074.03125,148488.265625,149918.8125,151340.859375,152747.1875,154131.5625,155486.421875,156817.5625,158131.28125,159427.390625,160715.625,162002.015625
Sarasota - FL,53658.69140625,53504.25,53480.5703125,53625.0,54157.94921875,54999.6484375,55850.53125,56817.01171875,57746.80078125,58624.390625,59702.96875,60921.0,62323.96875,63691.9296875,64791.640625,65526.0,65635.953125,64830.109375,64528.51171875,64392.7109375,64765.12890625,66587.7890625,68296.9765625,70095.0,71759.546875,73083.6328125,74362.78125,75631.0078125,76796.171875,77730.4609375,78287.390625,78914.0078125,79758.5390625,80591.25,81460.15625,82106.0,82698.2734375,83122.6171875,83587.1328125,84075.0234375,84198.9296875,84468.703125,84757.4375,85155.65625,85889.5234375,86722.4296875,87677.03125,88601.90625,89498.5703125,90383.3515625,91207.1171875,92029.6875,92867.0078125,93705.46875,94569.5078125,95439.421875,96298.8515625,97154.3984375,98000.90625,98843.9609375,99684.5625,100523.421875,101367.0,102216.0390625,103069.296875,103931.359375,104796.34375,105670.671875,106558.546875,107453.0234375,108356.90625,109257.7734375,110134.7734375,110989.390625,111816.96875,112619.8984375,113411.6171875,114193.0234375,114968.53125,115742.8125
Savannah - GA,52691.859375,54007.1484375,55262.921875,56535.0,56569.1484375,56599.76953125,56520.03125,56610.0,56945.41015625,57294.6796875,57896.6796875,58177.98828125,58810.671875,59411.5703125,59820.62109375,60371.0,60717.58984375,59888.8515625,59943.98828125,60288.828125,60696.8515625,62840.98046875,64641.671875,66244.9921875,67997.2421875,69543.5078125,70821.8515625,72098.0078125,72895.75,73633.953125,74341.7109375,75196.0,76696.5390625,78116.390625,79433.1484375,80518.0,81389.2265625,82033.84375,82672.046875,83340.5703125,83707.21875,84166.3984375,84573.8984375,84985.0,85661.5234375,86428.921875,87288.9921875,88154.453125,89016.2421875,89878.78125,90718.4765625,91564.8984375,92430.953125,93307.328125,94204.0234375,95110.7109375,96016.53125,96925.7578125,97836.703125,98748.1015625,99661.8828125,100575.328125,101491.390625,102413.890625,103339.1796875,104271.8203125,105208.59375,106154.34375,107115.1484375,108083.2734375,109058.8828125,110032.21875,110994.28125,111951.9609375,112901.7890625,113844.921875,114779.703125,115707.28125,116632.390625,117558.15625
Scranton - PA,49243.51953125,48598.23828125,48007.66015625,47421.98828125,47934.94140625,48747.69140625,49741.12109375,50890.98828125,51917.828125,52881.6484375,53623.609375,54115.0,54200.62109375,54153.890625,54071.5,54304.0,54994.76953125,54791.640625,55391.1015625,56166.23828125,56826.96875,58750.94921875,60017.8515625,61173.98828125,61550.0703125,61498.69140625,61281.73828125,60537.01171875,59772.30859375,59067.78125,58646.91015625,58834.0,60837.3203125,63288.51953125,65774.7734375,68078.9921875,69088.828125,69718.8515625,70189.453125,70552.890625,70932.5234375,71321.796875,71652.828125,71995.7421875,72534.9609375,73117.21875,73752.5625,74380.3203125,75008.4609375,75646.2578125,76271.921875,76913.0390625,77583.578125,78269.390625,78978.359375,79698.3203125,80415.3671875,81136.5625,81859.90625,82584.6328125,83310.9609375,84036.8515625,84765.171875,85499.0390625,86237.390625,86983.4921875,87733.9375,88492.1015625,89263.3203125,90039.21875,90820.4296875,91598.7734375,92366.796875,93130.8984375,93888.0,94639.6484375,95381.7890625,96117.1875,96849.09375,97581.6015625
Seattle - WA,76207.90625,76958.203125,77645.9609375,78611.9921875,79332.0234375,80201.09375,81169.203125,82133.0078125,83506.5703125,84832.7109375,86372.9921875,87909.9921875,89631.90625,91309.4375,92688.640625,94027.0,94771.1796875,94041.9765625,94097.6171875,94326.7421875,94891.609375,97510.296875,99592.109375,101721.0078125,103517.9765625,104705.25,105986.28125,106909.0,108047.921875,109200.3203125,109943.6875,110744.0,111073.046875,111661.2578125,112007.71875,112388.0,113251.5703125,113822.6171875,114710.328125,115533.2109375,115842.5078125,116228.2578125,116699.46875,117354.46875,118528.0234375,119873.0703125,121382.28125,122872.9921875,124320.96875,125769.4296875,127163.6015625,128567.0703125,129984.0390625,131406.953125,132861.0625,134325.953125,135788.921875,137253.25,138714.5625,140175.046875,141636.90625,143095.96875,144558.390625,146028.515625,147505.0625,148994.703125,150490.390625,151999.75,153527.578125,155066.59375,156621.09375,158174.6875,159707.28125,161223.4375,162717.625,164194.0,165665.34375,167130.125,168595.546875,170066.171875
Shreveport - LA,42631.23046875,41899.828125,41137.94140625,40445.0078125,39832.60546875,39257.5,38850.36328125,38627.0,39018.83203125,39785.45703125,40785.9453125,41969.0,43523.19921875,44991.23828125,46338.94140625,47447.01171875,47657.73828125,47116.30078125,46905.0,46630.62109375,46269.05859375,46967.9296875,47510.80078125,48164.0,49534.23828125,50675.3984375,51753.1015625,52774.98828125,53497.4296875,54049.3203125,54398.58984375,54904.0,55519.62109375,56195.6796875,56898.8203125,57514.0,58056.3984375,58446.1015625,58869.4296875,59206.73828125,59292.12890625,59469.19140625,59596.578125,59862.21875,60419.859375,61043.96875,61759.640625,62438.05078125,63081.71875,63714.69921875,64296.0390625,64884.03125,65486.37890625,66096.9609375,66737.5234375,67384.6015625,68023.109375,68655.7109375,69277.7421875,69891.40625,70497.0703125,71095.3515625,71693.2890625,72293.90625,72897.40625,73507.28125,74116.9765625,74734.53125,75362.46875,75994.40625,76632.9765625,77264.7265625,77887.8984375,78499.9375,79096.7109375,79680.8671875,80252.59375,80812.75,81365.3125,81914.4765625
Spokane - WA,48679.21875,49985.5390625,51438.8515625,52955.0,53068.73046875,53142.62890625,53203.87890625,53321.0,54552.0,55851.8984375,57283.71875,58546.0,59158.0703125,59519.75,59554.3203125,59646.0,59946.109375,59455.62109375,59771.0,60142.48828125,60568.37109375,62425.640625,63814.19921875,65283.0,66566.9296875,67306.1328125,68103.8828125,68829.0078125,69353.84375,70222.3515625,71335.8828125,72819.0,75686.1875,78952.7421875,81735.953125,84350.0,85462.2265625,85936.921875,86384.4296875,86525.5,86715.7421875,86886.7421875,87089.8125,87391.2890625,88029.0,88769.609375,89617.03125,90459.0078125,91292.3828125,92134.046875,92951.21875,93785.5078125,94654.5703125,95539.40625,96455.4375,97386.28125,98315.3125,99250.15625,100187.25,101126.9375,102068.15625,103011.3671875,103959.84375,104917.171875,105881.890625,106856.890625,107837.3515625,108829.2109375,109838.9765625,110857.140625,111884.8515625,112910.5390625,113920.703125,114919.40625,115903.1796875,116873.1328125,117831.0625,118779.6484375,119723.9375,120668.1484375
Springfield - MA,51650.48828125,51611.859375,51692.80078125,51544.0,51552.078125,51620.55078125,51587.12890625,51726.0,51603.87890625,51528.3515625,51786.96875,52372.0,54490.1484375,56608.71875,58481.109375,60160.98828125,60133.26953125,59076.55078125,58454.62890625,58310.859375,58538.44140625,60005.0703125,61192.19921875,61747.0,62385.87109375,62852.19921875,63269.98828125,63865.98828125,64543.1484375,65335.98046875,66133.953125,66997.0,68150.3203125,69362.8828125,70482.7421875,71402.0078125,72156.6484375,72727.8203125,73385.4609375,74095.71875,74424.2578125,74744.59375,74989.6171875,75269.2578125,75792.2421875,76361.703125,76992.0703125,77618.6171875,78246.5703125,78889.5234375,79523.796875,80181.09375,80885.2109375,81611.65625,82368.4296875,83141.46875,83909.2265625,84682.328125,85459.2578125,86239.1796875,87023.390625,87809.0,88598.671875,89395.703125,90198.9921875,91013.578125,91836.203125,92669.65625,93519.59375,94376.4765625,95238.8984375,96099.15625,96947.21875,97789.5234375,98622.8203125,99447.3203125,100258.1484375,101059.6875,101856.171875,102651.6796875
Springfield - MO,45042.2890625,45151.16015625,45190.109375,45337.0,45971.9609375,46775.76171875,47534.828125,48151.0,47992.8984375,47720.48046875,47285.37109375,46905.0,46804.828125,46673.69921875,46789.28125,47034.0,47594.1015625,47905.5703125,48810.359375,50041.421875,51540.9296875,53882.62109375,55625.94140625,56896.0,57434.609375,57427.2109375,57545.23828125,57822.01171875,58829.1015625,60137.87109375,61467.44140625,62921.0,64142.609375,65216.28125,66279.0390625,67219.0078125,68046.578125,68853.15625,69525.21875,70115.15625,70497.3125,70791.4609375,71054.203125,71340.7890625,71886.7109375,72510.1796875,73231.7890625,73959.078125,74670.828125,75379.53125,76057.6875,76743.9296875,77455.203125,78178.078125,78923.8203125,79676.171875,80423.78125,81172.203125,81919.421875,82667.4375,83413.359375,84158.3125,84906.78125,85660.828125,86420.921875,87188.5625,87960.0234375,88739.5703125,89531.8828125,90329.53125,91131.9609375,91930.7421875,92720.453125,93504.3984375,94279.75,95048.1328125,95805.890625,96555.7734375,97301.3671875,98046.3125
