Market,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2026 Q1
Chattanooga - TN,546300.1875,547377.0,548385.0,549283.375,550145.1875,550992.9375,551828.0,552888.5,553924.9375,554951.8125,555990.0,556810.625,557628.3125,558430.0,559248.0,560595.8125,561956.75,563307.9375,564617.9375,565507.375,566255.125,567136.75,568247.3125,570006.6875,571846.0,573724.9375,575786.6875,577417.75,579125.8125,580937.375,582724.1875,584420.0,586196.4375,588047.1875,589784.75,590955.3125,592093.1875,592649.75,593163.5625,593743.6875,594305.8125
Chicago - IL,9486179.0,9487301.0,9487228.0,9487671.0,9487478.0,9487042.0,9486392.0,9484315.0,9481823.0,9479169.0,9476710.0,9473714.0,9470667.0,9467351.0,9464310.0,9460886.0,9457683.0,9454315.0,9436961.0,9418354.0,9397392.0,9378665.0,9363711.0,9346067.0,9329749.0,9314078.0,9301364.0,9307332.0,9314549.0,9323426.0,9331900.0,9349015.0,9367422.0,9387019.0,9404809.0,9418212.0,9429622.0,9430947.0,9429854.0,9426792.0,9421961.0
Cincinnati - OH,2195264.0,2198752.0,2201963.0,2205582.0,2209053.0,2212468.0,2215833.0,2218873.0,2221816.0,2224721.0,2227672.0,2231026.0,2234368.0,2237646.0,2240989.0,2243907.0,2246878.0,2249810.0,2252016.0,2251941.0,2251301.0,2251196.0,2251998.0,2253875.0,2256071.0,2258422.0,2261491.0,2265782.0,2270376.0,2275375.0,2280275.0,2284723.0,2289486.0,2294539.0,2299150.0,2303979.0,2308524.0,2310707.0,2312467.0,2314242.0,2315802.0
Cleveland - OH,2185728.0,2186136.0,2186269.0,2186462.0,2186508.0,2186498.0,2186439.0,2186575.0,2186616.0,2186619.0,2186667.0,2186445.0,2186211.0,2185915.0,2185682.0,2185681.0,2185731.0,2185743.0,2184163.0,2180503.0,2176297.0,2172610.0,2169797.0,2167367.0,2165244.0,2163272.0,2161988.0,2161955.0,2162213.0,2162856.0,2163406.0,2164229.0,2165352.0,2166750.0,2167731.0,2169474.0,2170899.0,2170071.0,2168830.0,2167533.0,2166094.0
Colorado Springs - CO,706585.0,710530.0625,714386.0,717695.625,720957.1875,724200.375,727427.0,730606.5,733754.0625,736889.0,740039.0,742469.9375,744896.9375,747302.625,749730.0,751975.125,754237.6875,756487.1875,758515.375,759814.0,760922.0,762210.0,763805.625,764648.9375,765599.8125,766603.5625,767851.375,769019.3125,770289.5,771696.75,773070.375,775131.75,777299.6875,779566.0,781681.5625,782761.75,783832.25,784195.125,784514.0,785037.3125,785746.5625
Columbia - SC,804307.3125,806018.9375,807629.0,809214.4375,810745.5,812256.0,813748.0,815176.8125,816570.0,817949.125,819345.0,820783.625,822217.6875,823628.4375,825063.0,826522.5,828001.25,829465.6875,830137.5,832054.8125,833763.1875,835668.8125,837911.625,840408.1875,843022.5,845694.875,848637.0,851233.5625,853943.625,856805.8125,859631.3125,862626.125,865739.375,868962.25,872017.1875,875302.4375,878479.8125,880761.4375,882887.8125,884947.6875,886914.1875
Columbus - OH,2042237.0,2048741.0,2054988.0,2062829.125,2070532.0,2078181.875,2085783.875,2091323.0,2096769.0,2102180.0,2107634.0,2112673.0,2117700.0,2122667.0,2127695.0,2131435.0,2135225.0,2138979.0,2141956.0,2143027.0,2143561.0,2144603.0,2146508.0,2151047.0,2155887.0,2160875.0,2166550.0,2172556.0,2178851.0,2185535.0,2192125.0,2199116.0,2206410.0,2213983.0,2221129.0,2229653.0,2237844.0,2243712.0,2249029.0,2254275.0,2259353.0
Corpus Christi - TX,448687.0,448969.21875,449195.0,448940.78125,448656.59375,448360.8125,448055.0,447383.5,446692.40625,445993.59375,445304.0,445187.90625,445069.40625,444938.1875,444820.0,445190.875,445572.125,445945.59375,446361.375,446728.40625,446983.3125,447344.09375,447885.1875,447549.5,447277.0,447035.5,446936.0,447281.3125,447687.0,448172.90625,448639.8125,449074.40625,449570.1875,450122.09375,450586.21875,451610.6875,452499.125,452862.40625,453055.375,453107.09375,453203.0
Dallas-Fort Worth - TX,7100265.0,7138435.0,7175708.0,7210972.0,7245755.0,7280352.0,7314782.0,7344227.0,7373352.0,7402349.0,7431497.0,7459990.0,7488443.0,7516683.0,7545141.0,7576110.0,7607255.0,7638269.0,7667155.0,7694429.0,7719768.0,7746929.0,7777221.0,7824894.0,7873655.0,7922960.0,7974798.0,8020619.0,8067504.0,8115830.0,8163813.0,8209734.5,8256792.0,8304908.0,8351430.5,8388002.0,8423387.0,8450137.0,8476342.0,8503006.0,8529726.0
Dayton - OH,804034.4375,804660.25,805185.0,805749.3125,806259.6875,806749.5,807221.0,807812.0625,808367.6875,808909.5,809468.0,810291.375,811110.5,811906.375,812726.0,813155.875,813604.6875,814039.4375,814205.375,814002.8125,813596.3125,813382.8125,813496.8125,813215.25,813048.6875,812938.5,813086.8125,813535.875,814094.125,814797.5,815465.5625,816545.0,817737.3125,819033.3125,820171.375,820921.0625,821607.125,821493.875,821291.6875,821136.75,820906.3125
