Market,Inv.,Rank,Geography Name
Indianapolis - IN,1.1144891897933766,76,
Inland Empire - CA,1.0688024363299793,44,
Jackson - MS,1.0448237530031914,16,
Jacksonville - FL,1.3111381783732576,131,
Kansas City - MO,1.1543599281600931,94,
Killeen - TX,1.1642514542300235,99,
Knoxville - TN,1.197706214989248,112,
Lafayette - LA,1.1012524020939634,68,
Lakeland - FL,1.651485439748995,148,
Lancaster - PA,1.1249490538573508,83,
Lansing - MI,1.0510197302863216,21,
Las Vegas - NV,1.119681483932002,79,
Lehigh Valley - PA,1.1277754121296917,86,
Lexington - KY,1.0921976056144214,63,
Little Rock - AR,1.0870056497175142,58,
Long Island - NY,1.1131233745277824,74,
Los Angeles - CA,1.0492687275088315,20,
Louisville - KY,1.1467688673560392,90,
Madison - WI,1.2185282917502804,119,
Manchester - NH,1.1205858567705993,80,
McAllen - TX,1.2139334155363748,116,
Melbourne - FL,1.345665641381103,135,
Memphis - TN,1.0664239743817083,41,
Miami - FL,1.1950736294281152,109,
Milwaukee - WI,1.115455714138258,78,
Minneapolis - MN,1.2154319228659043,117,
Mobile - AL,1.0167710094593978,6,
Modesto - CA,1.026995377503852,11,
Montgomery - AL,1.0076823972896884,3,
Myrtle Beach - SC,2.1275626423690204,150,
Naples - FL,1.4241723691511003,139,
Nashville - TN,1.3408624229979467,133,
New Haven - CT,1.131421020756483,87,
New Orleans - LA,1.0247231265727406,8,
New York - NY,1.0777281978116153,51,
Norfolk - VA,1.0813754272382117,52,
Northern New Jersey - NJ,1.1599471382187996,97,
Northwest Arkansas - AR,1.2671314741035857,125,
Ocala - FL,1.488351481387693,145,
Ogden - UT,1.4429740646258504,142,
Oklahoma City - OK,1.0834554860961414,54,
Omaha - NE,1.1222707423580787,82,
Orange County - CA,1.041865282487683,15,
Orlando - FL,1.2952552559274326,128,
Palm Beach - FL,1.1924045261669025,106,
Pensacola - FL,1.3739341507437606,136,
Philadelphia - PA,1.1419092362086503,89,
Phoenix - AZ,1.2397749670256706,123,
Pittsburgh - PA,1.06030526735834,34,
Port St. Lucie - FL,1.5923783951254777,146,
Portland - ME,1.23359375,122,
Portland - OR,1.1507492440147151,92,
Poughkeepsie - NY,1.0526628979470396,25,
Providence - RI,1.0616609667704557,36,
Provo - UT,1.4573227924427175,144,
Raleigh - NC,1.2978661774645168,129,
Reading - PA,1.0403833627989205,13,
Reno - NV,1.1945896331047143,108,
Richmond - VA,1.1856470772290948,104,
Rochester - NY,1.0592817346250754,32,
Sacramento - CA,1.083430388819208,53,
Saint Louis - MO,1.1053548424874107,70,
Salem - OR,1.1680752610042449,100,
Salinas - CA,1.0136400651465798,5,
Salisbury - MD,1.4253623188405797,140,
Salt Lake City - UT,1.2749922704318253,126,
San Antonio - TX,1.1959635857698943,111,
San Diego - CA,1.0757003163209442,49,
San Francisco - CA,1.056125442932268,28,
San Jose - CA,1.0912335654558654,61,
Santa Barbara - CA,1.048154815481548,18,
Santa Rosa - CA,1.0897848022144834,60,
Sarasota - FL,1.4566102015709284,143,
Savannah - GA,1.3082120395327943,130,
Scranton - PA,1.0281566212054554,12,
Seattle - WA,1.1547689095020537,95,
Shreveport - LA,1.008665086242132,4,
Spokane - WA,1.185403963414634,103,
Springfield - MA,1.0255641003971943,10,
Springfield - MO,1.1089831852130012,72,
Stamford - CT,1.2070597982069415,114,
Stockton - CA,1.0836812285671686,55,
Syracuse - NY,1.0516015849490337,23,
Tallahassee - FL,1.1153085976102777,77,
Tampa - FL,1.2057795385690981,113,
Toledo - OH,1.058538481471884,31,
Trenton - NJ,1.126032067330741,84,
Tucson - AZ,1.0688243443963203,45,
Tulsa - OK,1.0675840928730984,43,
Vallejo-Fairfield - CA,1.0624652043202316,39,
Ventura - CA,1.0619965967101532,37,
Visalia - CA,1.1130410807830162,73,
Washington - DC,1.1269584646721242,85,
Wichita - KS,1.0579291206567614,30,
Winston-Salem - NC,1.0854692945930107,57,
Worcester - MA,1.1076192092312913,71,
York - PA,1.1902330331445548,105,
Youngstown - OH,0.9937086092715232,1,
